Id,Name,PointsVieBase,ForceBase,DefenseBase,ExperienceBase,SpriteUrl,Type1,Type2
1,bulbasaur,15,6,6,53,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png,grass,poison
2,ivysaur,20,7,7,67,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png,grass,poison
3,venusaur,26,10,10,87,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png,grass,poison
4,charmander,13,6,5,51,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png,fire,N/A
5,charmeleon,19,8,7,67,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png,fire,N/A
6,charizard,26,10,9,89,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png,fire,flying
7,squirtle,14,6,8,52,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png,water,N/A
8,wartortle,19,7,10,67,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png,water,N/A
9,blastoise,26,10,12,88,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png,water,N/A
10,caterpie,15,5,4,32,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png,bug,N/A
11,metapod,16,5,6,34,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png,bug,N/A
12,butterfree,20,5,6,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png,bug,flying
13,weedle,13,5,3,32,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png,bug,poison
14,kakuna,15,5,6,34,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png,bug,poison
15,beedrill,21,11,5,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png,bug,poison
16,pidgey,13,5,5,41,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png,normal,flying
17,pidgeotto,21,7,6,58,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png,normal,flying
18,pidgeot,27,10,9,79,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png,normal,flying
19,rattata,10,7,4,42,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png,normal,N/A
20,raticate,18,10,7,68,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png,normal,N/A
21,spearow,13,7,3,43,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png,normal,flying
22,fearow,21,11,8,73,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png,normal,flying
23,ekans,11,7,5,48,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png,poison,N/A
24,arbok,20,11,8,74,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png,poison,N/A
25,pikachu,11,6,5,53,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png,electric,N/A
26,raichu,20,11,6,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png,electric,N/A
